address,best,bin,building_id,building_name,distance_m,district,footprint_area,footprint_verts,height_source,is_context,lat,lod_tier,lon,min_height,osm_building_type,osm_id,osm_levels,osm_type,postcode,roof_height,second,x_m,y_m
422 East 84th Street,0.989,1050484,25033,,0.9,Upper East Side,66.5,4,tag,0,40.7750543,block,-73.9495625,0.0,yes,266904295,,way,10028,9.7,0.933,1554.17,-546.87
428 East 84th Street,0.988,1050483,25038,,0.9,Upper East Side,73.5,4,tag,0,40.7749807,block,-73.9494138,0.0,yes,266904300,,way,10028,10.3,0.943,1566.7,-555.0
430 East 84th Street,0.988,1050473,25040,,0.9,Upper East Side,73.2,4,tag,0,40.7749587,block,-73.9493617,0.0,yes,266904303,,way,10028,10.6,0.93,1571.1,-557.44
427 East 84th Street,0.988,1050489,25081,,0.9,Upper East Side,71.8,4,tag,0,40.7752275,block,-73.9491003,0.0,yes,266904459,,way,10028,12.9,0.947,1593.13,-527.72
429 East 84th Street,0.988,1050522,25083,,0.9,Upper East Side,71.9,4,tag,0,40.7752067,block,-73.9490507,0.0,yes,266904461,,way,10028,12.5,0.947,1597.31,-530.02
431 East 84th Street,0.989,1050490,25085,,0.9,Upper East Side,71.9,4,tag,0,40.7751858,block,-73.9490012,0.0,yes,266904463,,way,10028,12.8,0.947,1601.49,-532.33
433 East 84th Street,0.989,1050491,25087,,0.9,Upper East Side,71.9,4,tag,0,40.7751648,block,-73.9489516,0.0,yes,266904465,,way,10028,12.8,0.934,1605.66,-534.64
441 East 84th Street,0.988,1050494,25092,,0.9,Upper East Side,78.3,4,tag,0,40.7750618,block,-73.9487227,0.0,yes,266904470,,way,10028,13.2,0.936,1624.96,-546.04
443 East 84th Street,0.989,1050495,25093,,0.9,Upper East Side,78.5,4,tag,0,40.7750369,block,-73.9486636,0.0,yes,266904471,,way,10028,13.2,0.932,1629.94,-548.79
12 Henderson Place,0.989,1051291,25148,,0.9,Upper East Side,55.5,4,tag,0,40.7754529,block,-73.9448976,0.0,yes,266904938,,way,10028,11.6,0.938,1947.39,-502.79
14 Henderson Place,0.989,1051292,25149,,0.9,Upper East Side,54.2,4,tag,0,40.7754947,block,-73.9448671,0.0,yes,266904939,,way,10028,12.0,0.933,1949.97,-498.17
511 East 86th Street,0.781,1051258,25169,,17.5,Upper East Side,145.7,5,tag,0,40.775956,block,-73.9465347,0.0,yes,266904961,,way,10128,16.0,0.771,1809.4,-447.16
513 East 86th Street,0.633,1051258,25171,,24.9,Upper East Side,171.4,9,tag,0,40.7759193,block,-73.9464524,0.0,yes,266904963,,way,10128,15.2,0.611,1816.34,-451.22
514 East 87th Street,0.988,1051282,25172,,0.9,Upper East Side,71.7,4,tag,0,40.7761208,block,-73.9458845,0.0,yes,266904964,,way,10128,16.6,0.935,1864.21,-428.94
515 East 86th Street,0.581,1051259,25173,,33.9,Upper East Side,115.1,5,tag,0,40.7758758,block,-73.9463791,0.0,yes,266904965,,way,10128,15.6,0.552,1822.52,-456.03
528 East 87th Street,0.989,1051277,25182,,0.9,Upper East Side,74.8,4,tag,0,40.7759548,block,-73.945498,0.0,yes,266904974,,way,10128,13.3,0.931,1896.78,-447.29
530 East 87th Street,0.989,1051276,25183,,0.9,Upper East Side,73.7,4,tag,0,40.7759304,block,-73.9454401,0.0,yes,266904975,,way,10128,13.0,0.935,1901.67,-449.99
532 East 87th Street,0.988,1051306,25184,,0.9,Upper East Side,74.2,4,tag,0,40.7759061,block,-73.9453824,0.0,yes,266904976,,way,10128,13.6,0.935,1906.53,-452.68
552 East 87th Street,0.988,1051303,25193,,0.9,Upper East Side,57.8,4,tag,0,40.7756575,block,-73.9447905,0.0,yes,266904985,,way,10028,10.4,0.942,1956.42,-480.16
554 East 87th Street,0.988,1051302,25195,,0.9,Upper East Side,57.7,4,tag,0,40.7756348,block,-73.9447366,0.0,yes,266904987,,way,10028,10.7,0.929,1960.97,-482.68
1626 York Avenue,0.605,1051236,25209,,16.1,Upper East Side,76.8,4,tag,0,40.7755654,block,-73.9470755,0.0,yes,266905040,,way,10028,13.0,0.549,1763.81,-490.35
1628 York Avenue,0.567,1051254,25210,,3.1,Upper East Side,73.6,4,tag,0,40.7756065,block,-73.9470454,0.0,yes,266905041,,way,10028,12.8,0.531,1766.35,-485.81
1630 York Avenue,0.521,1051254,25211,,7.1,Upper East Side,75.4,4,tag,0,40.7756472,block,-73.9470156,0.0,yes,266905042,,way,10028,13.0,0.474,1768.86,-481.31
,0.459,1051254,25227,,11.9,Upper East Side,72.3,4,tag,0,40.7756875,block,-73.946986,0.0,yes,266905063,,way,,13.3,0.401,1771.35,-476.85
506 East 89th Street,0.988,1051360,25311,,0.9,Upper East Side,82.0,4,tag,0,40.7774789,block,-73.945254,0.0,yes,266905432,,way,10128,10.2,0.93,1917.35,-278.77
520 East 89th Street,0.989,1051355,25320,,0.9,Upper East Side,80.2,4,tag,0,40.7773041,block,-73.9448396,0.0,yes,266905452,,way,10128,10.5,0.937,1952.28,-298.09
,0.989,1049833,25468,,0.9,Upper East Side,97.6,5,tag,0,40.774283,block,-73.9537135,0.0,apartments,266909147,,way,,13.5,0.938,1204.27,-632.15
1555 2nd Avenue,0.988,1048550,25487,,0.9,Upper East Side,136.3,4,tag,0,40.7745862,block,-73.954513,0.0,yes,266909345,,way,10028,14.3,0.934,1136.87,-598.62
1557 2nd Avenue,0.989,1048535,25488,,0.9,Upper East Side,135.8,4,tag,0,40.7746308,block,-73.9544805,0.0,yes,266909346,,way,10028,14.2,0.939,1139.61,-593.69
222 REAR-A East 81st Street,0.627,1077056,25492,,7.7,Upper East Side,65.9,4,tag,0,40.7749304,block,-73.9554094,0.0,yes,266909350,,way,10028,4.0,0.587,1061.32,-560.57
222 REAR-B East 81st Street,0.519,1077056,25493,,16.1,Upper East Side,63.6,5,tag,0,40.7748641,block,-73.9554576,0.0,yes,266909351,,way,10028,7.8,0.498,1057.25,-567.89
