address,bbl,bbl_source,bin,building_id,building_name,district,footprint_area,footprint_verts,height_source,is_context,lat,lod_tier,lon,match_area_ratio,match_confidence,match_distance_m,min_height,osm_building_type,osm_id,osm_levels,osm_type,postcode,roof_height,x_m,y_m
199 Chambers Street,,,,3827,,Tribeca / Civic Center,1269.0,9,levels,0,40.7174374,block,-74.0122181,,none,,0.0,yes,1446060868,3,way,10007,10.8,-3727.33,-6917.8
199 Chambers Street,,,,3828,,Tribeca / Civic Center,2023.1,9,levels,0,40.7174357,block,-74.0122268,,none,,0.0,yes,1446060869,2,way,10007,7.6,-3728.06,-6917.98
199 Chambers Street,,,,3829,,Tribeca / Civic Center,733.3,6,levels,0,40.7178476,block,-74.011957,,none,,0.0,yes,1446060870,4,way,10007,14.0,-3705.31,-6872.44
,,,,3984,,Midtown East,60.8,4,zone_model,0,40.7532213,block,-73.959009,,none,,0.0,yes,238356504,,way,,14.83,757.89,-2961.02
,,,,10162,,East Village,39.3,5,tag,0,40.7291544,block,-73.9749471,,none,,0.0,industrial,250264359,,way,,4.4,-585.6,-5622.21
,,,,12329,Fireboat John J. Harvey,Midtown West / Times Sq,261.4,11,zone_model,0,40.7523312,block,-74.0097984,,none,,0.0,ship,263202827,,way,,25.86,-3523.36,-3059.45
,,,,12330,Lightship Frying Pan,Midtown West / Times Sq,312.0,13,zone_model,0,40.7521016,block,-74.0092723,,none,,0.0,ship,263202828,,way,,35.48,-3479.01,-3084.83
30 Hudson Yards,,,,14128,30 Hudson Yards,Midtown West / Times Sq,6158.4,18,tag,0,40.7539463,landmark,-74.00059,,none,,0.0,yes,264656626,,way,10001,395.0,-2747.15,-2880.86
,,,,14158,,Midtown West / Times Sq,1450.5,4,tag,0,40.7554819,block,-74.0039365,,none,,0.0,roof,264656693,,way,,5.1,-3029.24,-2711.06
429 11th Avenue,,,,19495,Jacob K. Javits Convention Center,Midtown West / Times Sq,86230.9,31,tag,0,40.758322,district,-74.0020918,,none,,0.0,yes,278353371,,way,10001,53.6,-2873.73,-2397.02
,,,,19623,,Murray Hill / Kips Bay,49.6,6,tag,0,40.7498057,block,-73.961439,,none,,0.0,yes,301238277,,way,,4.0,553.06,-3338.71
,,,,19624,,Murray Hill / Kips Bay,49.6,7,tag,0,40.7497021,block,-73.9612559,,none,,0.0,yes,301238279,,way,,4.0,568.49,-3350.17
,,,,19675,,West Village,75.0,9,zone_model,0,40.7352865,block,-73.9910549,,none,,0.0,roof,322221281,,way,,10.19,-1943.39,-4944.15
,,,,19688,UN Visitors Entrance,Murray Hill / Kips Bay,350.2,6,levels,0,40.7509762,block,-73.9677167,,none,,0.0,yes,349598347,1,way,,4.4,23.88,-3209.28
,,,,19689,Trolley Kiosk,Midtown East,39.9,4,levels,0,40.7608435,block,-73.9637506,,none,,0.0,yes,351201924,1,way,,4.4,358.2,-2118.21
,,,,19707,,Murray Hill / Kips Bay,17.3,4,zone_model,0,40.7517542,block,-73.9672735,,none,,0.0,yes,379434402,,way,,17.13,61.24,-3123.26
,,,,19726,,Gramercy / Flatiron,1422.4,4,levels,0,40.738182,block,-73.974853,,none,,0.0,parking,412625601,3,way,,10.8,-577.67,-4623.99
,,,,19730,,Midtown West / Times Sq,143.4,12,levels,0,40.7557804,block,-74.0002868,,none,,0.0,roof,414019076,1,way,,4.4,-2721.58,-2678.06
,,,,19731,,Gramercy / Flatiron,389.6,11,zone_model,0,40.7440705,block,-73.9709426,,none,,0.0,roof,428251233,,way,,23.73,-248.04,-3972.87
,,,,19754,,Midtown East,61.7,11,zone_model,0,40.7525276,district,-73.9781772,,none,,0.0,roof,473560487,,way,,45.88,-857.88,-3037.73
1240 6th Avenue,,,,19760,,Midtown West / Times Sq,139.5,5,levels,0,40.7592598,block,-73.9805479,,none,,0.0,yes,487519789,4,way,10020,14.0,-1057.71,-2293.33
2430 FDR Drive,,,,19767,BP,East Village,184.6,5,zone_model,0,40.7351551,block,-73.9745105,,none,,0.0,roof,528755492,,way,10010,13.97,-548.8,-4958.68
,,,,19796,Sherman Zwicker,Tribeca / Civic Center,286.1,11,zone_model,0,40.7202767,block,-74.0160345,,none,,0.0,ship,641349898,,way,,16.25,-4049.03,-6603.84
606 1st Avenue,,,,19835,Sweetgreen,Gramercy / Flatiron,351.5,4,tag,0,40.7441899,block,-73.9728705,,none,,0.0,retail,793720071,,way,10016,4.3,-410.56,-3959.66
,,,,19846,,Hudson Yards,284.1,11,zone_model,0,40.7487274,block,-74.0102032,,none,,0.0,yes,888552575,,way,,40.6,-3557.48,-3457.94
,,,,19848,,Murray Hill / Kips Bay,28.9,4,zone_model,0,40.7494003,block,-73.9691153,,none,,0.0,yes,889906397,,way,,42.78,-94.01,-3383.53
,,,,19851,,Tribeca / Civic Center,24.6,4,levels,0,40.7213458,block,-74.0153942,,none,,0.0,roof,891134461,1,way,,4.4,-3995.05,-6485.63
,,,,19852,,Tribeca / Civic Center,24.1,4,levels,0,40.7212542,block,-74.0152003,,none,,0.0,roof,891134462,1,way,,4.4,-3978.7,-6495.76
,,,,19853,,West Village,108.9,9,zone_model,0,40.7331883,block,-74.0138177,,none,,0.0,yes,891757865,,way,,21.22,-3862.16,-5176.15
,,,,19855,,Chelsea,35.5,6,zone_model,0,40.738126,block,-74.0109294,,none,,0.0,yes,891757905,,way,,8.05,-3618.69,-4630.18
,,,,19857,,Midtown West / Times Sq,425.9,17,zone_model,0,40.7524964,block,-74.0098831,,none,,0.0,retail,905435932,,way,,40.05,-3530.5,-3041.18
,,,,19858,,Midtown West / Times Sq,90.3,8,zone_model,0,40.7523845,block,-74.009605,,none,,0.0,retail,905435933,,way,,21.05,-3507.06,-3053.56
,,,,19859,,Midtown West / Times Sq,112.7,8,zone_model,0,40.7523264,block,-74.0094582,,none,,0.0,retail,905435934,,way,,22.36,-3494.68,-3059.98
